"music_title","difficulty_name","music_id","difficulty_id","count","played","comp","ex_comp","uc","per","grade_C","grade_B","grade_A","grade_Ap","grade_AA","grade_AAp","grade_AAA","grade_AAAp","grade_S","grade_995","grade_998","avg_score","sd_score","avg_skill_u8","avg_skill_9","avg_skill_10","avg_skill_11","avg_skill_12_n","avg_skill_12_g","avg_skill_12_h","avg_vf_u7","avg_vf_8_i_ii","avg_vf_8_iii_iv","avg_vf_9_i","avg_vf_9_ii","avg_vf_9_iii","avg_vf_9_iv","avg_vf_10_i","avg_vf_10_ii"
"ナナイロ","INFINITE","13","5","855","53","135","156","313","198","841","841","837","816","772","760","715","692","622","528","390","9763036","766329","9887059","9906680","8795589","9876127","9849057","9093088","9943411","9785542","9119151","9634716","9920207","9875639","9293425","9804568","9917023","9970260",\N,\N
"とある少年の一日","NOVICE","14","1","124","10","28","0","18","68","114","114","114","107","106","101","91","86","86","83","72","9537917","1101303","9963325","9474327","8899755","9936159","9338436","9645476","0","9900548","9587408","10000000","9801580","7294213","9858734","10000000","10000000","0",\N,\N
"とある少年の一日","ADVANCED","14","2","277","43","138","0","74","22","272","244","202","162","131","125","117","112","85","69","48","8942062","1483939","9996628","7697842","9073740","9284248","8696246","8298860","9162578","9137874","9276514","8101798","9647313","9057553","6558565","9407973","9059114","10000000",\N,\N
"とある少年の一日","EXHAUST","14","3","594","21","177","81","207","108","594","589","543","498","472","445","399","372","322","205","151","9619403","563301","9913733","9150463","9704963","9575207","9621197","9622506","9550912","9655617","9329780","9654958","9667004","9764671","9540386","9769938","9611066","9629403",\N,\N
"SurVALI","NOVICE","15","1","92","0","12","0","14","66","92","92","91","91","87","87","81","81","75","69","66","9906601","243083","9983610","9169580","0","10000000","9940202","9501748","9597902","9892100","10000000","9746503","10000000","9921328","9859047","10000000","9895105","0",\N,\N
"SurVALI","ADVANCED","15","2","296","71","142","0","56","27","296","296","241","202","140","100","80","78","51","48","38","9282208","498019","9983133","8890554","9119297","9482087","9200926","9280359","9408331","9501612","9363847","8864957","9125615","9307377","9281512","9424662","9438543","10000000",\N,\N
"SurVALI","EXHAUST","15","3","553","47","138","71","174","123","543","543","532","498","446","424","417","392","371","324","247","9588663","1346100","9980882","9809610","8717407","9321588","9741466","9922181","9815712","9763012","9715950","9569756","9739459","9871562","8237827","9971668","9479874","9677120",\N,\N
"dilemma","NOVICE","16","1","103","0","10","0","11","82","103","103","103","103","98","94","90","89","83","83","82","9911509","217373","10000000","0","0","9944760","9949074","9774305","9166666","10000000","9898727","10000000","9847222","9994213","9893904","10000000","9791667","0",\N,\N
"dilemma","ADVANCED","16","2","206","11","72","15","55","53","206","205","189","172","153","129","117","92","85","78","58","9548586","546254","9968944","9213250","9396861","9496894","9660690","9302967","8486024","9575015","9558316","10000000","9498839","9899068","9243271","9238390","9523809","10000000",\N,\N
"dilemma","EXHAUST","16","3","497","0","96","58","156","187","497","497","497","476","438","432","428","413","357","287","216","9836873","301639","9962732","9858757","9723349","9905545","9815393","9839361","9780932","9778396","9806169","9834640","9813367","9739619","9963197","9798291","9926914","9698470",\N,\N
